UTC,Angle
2014-10-03,38.84
2014-10-15,38.855
2014-10-27,38.847
2014-11-08,38.849
2014-11-20,38.849
2014-12-02,38.853
2014-12-14,38.859
2014-12-26,38.858
2015-01-07,38.851
2015-01-19,38.849
2015-01-31,38.853
2015-02-12,38.849
2015-02-24,38.853
2015-03-08,38.853
2015-03-20,39.062
2015-03-20,39.062
2015-04-01,39.061
2015-04-13,39.061
2015-04-25,39.064
2015-05-07,39.077
2015-05-19,39.06
2015-05-31,39.064
2015-06-12,39.063
2015-07-06,39.062
2015-07-18,39.06
2015-08-11,38.865
2015-08-23,38.87
2015-09-16,38.863
2015-09-28,38.861
2015-10-10,38.863
2015-10-22,38.864
2015-11-03,38.868
2015-11-15,39.088
2015-11-27,39.105
2015-12-09,39.078
2015-12-21,39.107
2016-01-02,39.085
2016-01-14,39.109
2016-01-26,39.077
2016-02-07,39.104
2016-02-19,39.144
2016-03-02,39.115
2016-03-14,39.087
2016-03-26,39.112
2016-04-07,39.084
2016-04-19,39.11
2016-05-01,39.085
2016-05-13,39.116
2016-05-25,39.114
2016-06-06,38.782
2016-06-30,38.783
2016-07-12,38.785
2016-07-24,38.782
2016-08-05,38.783
2016-08-17,38.78
2016-08-29,39.14
2016-09-10,38.783
2016-09-22,38.784
2016-09-28,39.134
2016-10-04,38.778
2016-10-10,39.14
2016-10-16,38.775
2016-10-22,39.139
2016-10-28,38.779
2016-11-03,39.144
2016-11-09,38.781
2016-11-15,39.139
2016-11-21,38.785
2016-11-27,39.138
2016-12-03,38.778
2016-12-09,39.149
2016-12-15,38.774
2016-12-21,39.151
2016-12-27,38.775
2017-01-02,39.14
2017-01-08,38.775
2017-01-14,39.134
2017-01-26,39.132
2017-02-01,38.78
2017-02-07,39.131
2017-02-13,38.775
2017-02-19,39.143
2017-02-25,38.773
2017-03-03,39.136
2017-03-09,38.774
2017-03-15,39.137
2017-03-21,38.778
2017-03-27,39.134
2017-04-02,38.783
2017-04-08,39.139
2017-04-14,38.784
2017-04-20,39.143
2017-04-26,38.773
2017-05-02,39.141
2017-05-08,38.782
2017-05-14,39.139
2017-05-20,38.783
2017-05-26,39.134
2017-06-01,38.997
2017-06-07,38.865
2017-06-13,38.991
2017-06-19,38.865
2017-06-25,38.99
2017-07-01,38.866
2017-07-07,38.986
2017-07-13,38.867
2017-07-19,38.991
2017-07-25,38.864
2017-07-31,38.992
2017-08-06,38.862
2017-08-12,38.998
2017-08-18,38.864
2017-08-24,38.989
2017-08-30,38.867
2017-09-05,38.985
2017-09-11,38.867
2017-09-17,38.993
2017-09-23,38.866
2017-09-29,38.997
2017-10-05,38.86
2017-10-11,38.995
2017-10-17,38.861
2017-10-23,38.992
2017-10-29,38.868
2017-11-04,38.985
2017-11-10,38.865
2017-11-16,38.987
2017-11-22,38.864
2017-11-28,38.993
2017-12-04,38.857
2017-12-10,38.991
2017-12-16,38.857
2017-12-22,38.982
2017-12-28,38.863
2018-01-03,38.98
2018-01-09,38.866
2018-01-15,38.985
2018-01-21,38.865
2018-01-27,38.987
2018-02-02,38.859
2018-02-08,38.991
2018-02-14,38.861
2018-02-20,38.991
2018-02-26,38.863
2018-03-04,38.989
2018-03-10,38.864
2018-03-16,38.988
2018-03-22,38.863
2018-03-28,38.989
2018-04-03,38.866
2018-04-09,38.991
2018-04-15,38.864
2018-04-21,38.993
2018-04-27,38.861
2018-05-03,38.988
2018-05-09,38.863
2018-05-15,38.99
2018-05-21,38.868
2018-05-27,38.991
2018-06-02,38.864
2018-06-08,38.996
2018-06-14,38.861
2018-06-20,38.994
2018-06-26,38.86
2018-07-02,38.99
2018-07-08,38.867
2018-07-14,38.988
2018-07-20,38.873
2018-07-26,38.988
2018-08-01,38.867
2018-08-01,38.872
2018-08-07,38.99
2018-08-07,38.996
2018-08-13,38.86
2018-08-13,38.865
2018-08-19,39.001
2018-08-19,38.995
2018-08-25,38.863
2018-08-25,38.868
2018-08-31,38.999
2018-08-31,38.994
2018-09-06,38.865
2018-09-06,38.87
2018-09-12,38.99
2018-09-12,38.995
2018-09-18,38.868
2018-09-18,38.873
2018-09-24,38.992
2018-09-24,38.986
2018-09-30,38.868
2018-09-30,38.873
2018-10-06,38.988
2018-10-06,38.993
2018-10-12,38.872
2018-10-12,38.867
2018-10-18,39.001
2018-10-18,38.995
2018-10-24,38.861
2018-10-24,38.866
2018-10-30,38.994
2018-10-30,39
2018-11-05,38.862
2018-11-05,38.858
2018-11-11,38.988
2018-11-11,38.993
2018-11-17,38.868
2018-11-17,38.873
2018-11-23,38.988
2018-11-23,38.982
2018-11-29,38.865
2018-11-29,38.87
2018-12-05,38.992
2018-12-05,38.986
2018-12-11,38.867
2018-12-11,38.862
2018-12-17,38.987
2018-12-17,38.993
2018-12-23,38.864
2018-12-23,38.859
2018-12-29,38.99
2018-12-29,38.995
2019-01-04,38.857
2019-01-10,38.986
2019-01-16,38.863
2019-01-22,38.987
2019-01-28,38.865
2019-02-03,38.986
2019-02-09,38.865
2019-02-15,38.989
2019-02-21,38.863
2019-02-27,38.992
2019-03-05,38.861
2019-03-11,38.994
2019-03-17,38.862
2019-03-23,38.993
2019-03-29,38.867
2019-04-04,38.991
2019-04-10,38.867
2019-04-16,38.991
2019-04-22,38.87
2019-04-28,38.998
2019-05-04,38.863
2019-05-10,38.997
2019-05-16,38.862
2019-05-22,38.991
2019-05-28,38.865
2019-06-03,38.99
2019-06-09,38.867
2019-06-15,38.988
2019-06-21,38.865
2019-06-27,38.994
2019-07-03,38.863
2019-07-09,38.995
2019-07-15,38.862
2019-07-21,38.996
2019-07-27,38.869
2019-08-02,38.989
2019-08-08,38.872
2019-08-14,38.994
2019-08-20,38.868
2019-08-26,38.996
2019-09-01,38.862
2019-09-07,38.998
2019-09-19,38.992
2019-09-25,38.866
2019-10-01,38.995
2019-10-07,38.868
2019-10-13,38.985
2019-10-19,38.869
2019-10-25,38.985
2019-10-31,38.86
2019-11-06,38.991
2019-11-12,38.86
2019-11-18,38.995
2019-11-24,38.858
2019-11-30,38.988
2019-12-06,38.864
2019-12-12,38.984
2019-12-18,38.866
2019-12-24,38.983
2019-12-30,38.863
2020-01-05,38.987
2020-01-11,38.859
2020-01-17,38.992
2020-01-23,38.86
2020-01-29,38.505
2020-02-04,39.23
2020-02-10,38.502
2020-02-16,39.234
2020-02-22,38.502
2020-02-28,39.227
2020-03-05,38.505
2020-03-11,39.231
2020-03-17,38.509
2020-03-23,39.229
2020-03-29,38.508
2020-04-04,39.231
2020-04-10,38.507
2020-04-16,39.235
2020-04-22,38.503
2020-04-28,39.236
2020-05-04,38.504
2020-05-10,39.233
2020-05-16,38.507
2020-05-22,39.228
2020-05-28,38.509
2020-06-03,39.227
2020-06-09,38.503
2020-06-15,39.229
2020-06-27,39.231
2020-07-03,38.499
2020-07-09,39.229
2020-07-15,38.505
2020-07-21,39.225
2020-07-27,38.511
2020-08-02,39.229
2020-08-08,38.508
2020-08-14,39.237
2020-08-20,38.5
2020-08-26,39.239
2020-09-01,38.505
2020-09-07,39.234
2020-09-13,38.509
2020-09-19,39.228
2020-09-25,38.511
2020-10-01,39.225
2020-10-07,38.511
2020-10-13,39.231
2020-10-19,38.503
2020-10-25,39.231
2020-10-31,38.5
2020-11-06,39.233
2020-11-12,38.504
2020-11-18,39.233
2020-11-24,38.502
2020-11-30,39.224
2020-12-06,38.506
2020-12-12,39.224
2020-12-18,38.506
2020-12-24,39.225
2020-12-30,38.499
2021-01-11,38.497
2021-01-17,39.232
2021-01-23,38.5
2021-02-04,38.504
2021-02-10,39.226
2021-02-16,38.505
2021-02-22,39.23
2021-02-28,38.503
2021-03-06,39.231
2021-03-12,38.502
2021-03-18,39.229
2021-03-24,38.505
2021-03-30,39.228
2021-04-05,38.506
2021-04-11,39.23
2021-04-17,38.509
2021-04-23,39.232
2021-04-29,38.499
2021-05-05,39.228
2021-05-11,38.504
2021-05-17,39.232
2021-05-23,38.507
2021-05-29,39.229
2021-06-04,38.509
2021-06-10,39.23
2021-06-16,38.509
2021-06-22,39.228
2021-06-28,38.505
2021-07-04,39.23
2021-07-10,38.501
2021-07-16,39.233
2021-07-22,38.504
2021-07-28,39.233
2021-08-03,38.507
2021-08-09,39.225
2021-08-15,38.507
2021-08-21,39.226
2021-08-27,38.509
2021-09-02,39.234
2021-09-08,38.505
2021-09-14,39.235
2021-09-20,38.502
2021-09-26,39.233
2021-10-02,38.507
2021-10-08,39.226
2021-10-14,38.509
2021-10-20,39.228
2021-10-26,38.508
2021-11-01,39.229
2021-11-07,38.504
2021-11-13,39.233
2021-11-19,38.501
2021-11-25,39.233
2021-12-01,38.498
2021-12-07,39.233
2021-12-13,38.505
2021-12-19,39.225
2021-12-25,38.505
2022-01-06,38.504
2022-01-18,38.498
2022-01-30,38.497
2022-02-11,38.506
2022-02-23,38.51
2022-03-07,38.508
2022-03-19,38.506
2022-03-31,38.502
2022-04-12,38.502
2022-04-24,38.511
2022-05-06,38.503
2022-05-18,38.501
2022-05-30,38.507
2022-06-11,38.509
2022-06-23,38.509
2022-07-05,38.508
2022-07-17,38.508
2022-07-29,38.501
2022-08-10,38.505
2022-08-22,38.507
2022-09-03,38.52
2022-09-15,38.511
2022-09-27,38.502
2022-10-09,38.499
2022-10-21,38.5
2022-11-02,38.5
2022-11-14,38.505
2022-11-26,38.509
2022-12-08,38.501
2022-12-20,38.496
2023-01-01,38.504
2023-01-13,38.5
2023-01-25,38.509
2023-02-06,38.499
2023-02-18,38.499
2023-03-02,38.507
2023-03-14,38.502
2023-03-26,38.508
2023-04-07,38.503
2023-04-19,38.493
2023-05-01,38.51
2023-05-13,38.513
2023-05-25,38.504
2023-06-06,38.5
2023-06-18,38.503
2023-06-30,38.501
2023-07-12,38.511
2023-07-24,38.512
2023-08-05,38.512
2023-08-17,38.502
