UTC,Angle
2014-10-03,36.241
2014-10-15,36.24
2014-10-27,36.239
2014-11-08,36.238
2014-12-02,36.238
2014-12-14,36.247
2014-12-26,36.242
2015-01-07,36.238
2015-01-19,36.236
2015-01-31,36.239
2015-02-12,36.226
2015-02-24,36.237
2015-03-08,36.241
2015-03-20,36.215
2015-04-01,36.21
2015-04-13,36.214
2015-04-25,36.217
2015-05-07,36.212
2015-05-19,36.209
2015-05-31,36.215
2015-06-12,36.214
2015-06-24,36.215
2015-07-06,36.21
2015-07-30,36.209
2015-08-11,36.211
2015-08-23,36.217
2015-09-16,36.208
2015-09-28,36.207
2015-10-10,36.209
2015-10-22,36.208
2015-11-15,36.15
2015-11-27,36.179
2015-12-09,36.182
2015-12-21,36.181
2016-01-02,36.188
2016-01-14,36.183
2016-01-26,36.178
2016-02-07,36.181
2016-02-19,36.184
2016-03-02,36.189
2016-03-14,36.188
2016-03-26,36.187
2016-04-07,36.187
2016-04-19,36.184
2016-05-01,36.186
2016-05-13,36.201
2016-05-25,36.193
2016-06-06,36.193
2016-06-30,36.199
2016-07-12,36.197
2016-07-24,36.196
2016-08-05,36.197
2016-08-17,36.195
2016-08-29,36.196
2016-09-10,36.202
2016-09-22,36.203
2016-09-28,36.121
2016-10-04,36.197
2016-10-10,36.126
2016-10-16,36.194
2016-10-22,36.123
2016-10-28,36.196
2016-11-03,36.123
2016-11-09,36.199
2016-11-21,36.203
2016-11-27,36.117
2016-12-03,36.199
2016-12-09,36.122
2016-12-15,36.195
2016-12-21,36.125
2016-12-27,36.197
2017-01-02,36.123
2017-01-08,36.195
2017-01-14,36.122
2017-01-20,36.197
2017-01-26,36.119
2017-02-01,36.199
2017-02-07,36.117
2017-02-13,36.197
2017-02-19,36.124
2017-02-25,36.195
2017-03-03,36.119
2017-03-09,36.195
2017-03-15,36.124
2017-03-21,36.198
2017-04-02,36.202
2017-04-08,36.125
2017-04-14,36.203
2017-04-20,36.129
2017-04-26,36.193
2017-05-02,36.127
2017-05-08,36.203
2017-05-14,36.126
2017-05-20,36.202
2017-05-26,36.113
2017-06-01,36.125
2017-06-07,36.157
2017-06-13,36.122
2017-06-19,36.157
2017-06-25,36.113
2017-07-01,36.156
2017-07-07,36.11
2017-07-13,36.159
2017-07-19,36.121
2017-07-25,36.156
2017-07-31,36.125
2017-08-06,36.154
2017-08-12,36.125
2017-08-18,36.155
2017-08-24,36.113
2017-08-30,36.157
2017-09-05,36.111
2017-09-11,36.158
2017-09-17,36.123
2017-09-23,36.159
2017-09-29,36.128
2017-10-05,36.152
2017-10-11,36.128
2017-10-17,36.153
2017-10-23,36.123
2017-10-29,36.16
2017-11-04,36.117
2017-11-10,36.157
2017-11-16,36.118
2017-11-22,36.157
2017-11-28,36.123
2017-12-04,36.15
2017-12-10,36.12
2017-12-16,36.151
2017-12-22,36.115
2017-12-28,36.155
2018-01-03,36.113
2018-01-09,36.158
2018-01-15,36.117
2018-01-21,36.157
2018-01-27,36.119
2018-02-02,36.152
2018-02-08,36.124
2018-02-14,36.154
2018-02-20,36.123
2018-02-26,36.155
2018-03-04,36.122
2018-03-10,36.155
2018-03-16,36.119
2018-03-22,36.153
2018-03-28,36.119
2018-04-03,36.158
2018-04-09,36.122
2018-04-15,36.155
2018-04-21,36.123
2018-04-27,36.153
2018-05-03,36.112
2018-05-09,36.155
2018-05-15,36.122
2018-05-21,36.159
2018-05-27,36.123
2018-06-02,36.154
2018-06-08,36.125
2018-06-14,36.153
2018-06-20,36.122
2018-06-26,36.152
2018-07-02,36.112
2018-07-08,36.158
2018-07-14,36.112
2018-07-20,36.165
2018-07-26,36.113
2018-08-01,36.157
2018-08-07,36.122
2018-08-13,36.152
2018-08-19,36.127
2018-08-25,36.154
2018-08-31,36.126
2018-09-06,36.157
2018-09-12,36.121
2018-09-18,36.16
2018-09-24,36.111
2018-09-30,36.16
2018-10-06,36.119
2018-10-12,36.16
2018-10-18,36.127
2018-10-24,36.154
2018-10-30,36.127
2018-11-05,36.15
2018-11-11,36.122
2018-11-17,36.16
2018-11-23,36.116
2018-11-29,36.157
2018-12-05,36.119
2018-12-11,36.155
2018-12-17,36.118
2018-12-23,36.154
2018-12-29,36.125
2019-01-04,36.15
2019-01-10,36.121
2019-01-16,36.155
2019-01-22,36.122
2019-01-28,36.157
2019-02-03,36.114
2019-02-09,36.157
2019-02-15,36.121
2019-02-21,36.157
2019-02-27,36.126
2019-03-05,36.155
2019-03-11,36.126
2019-03-17,36.153
2019-03-23,36.126
2019-03-29,36.159
2019-04-04,36.123
2019-04-10,36.159
2019-04-16,36.123
2019-04-22,36.163
2019-04-28,36.131
2019-05-04,36.157
2019-05-10,36.123
2019-05-16,36.155
2019-05-22,36.122
2019-05-28,36.158
2019-06-03,36.122
2019-06-09,36.158
2019-06-15,36.111
2019-06-21,36.157
2019-06-27,36.123
2019-07-03,36.156
2019-07-09,36.122
2019-07-15,36.154
2019-07-21,36.125
2019-07-27,36.161
2019-08-02,36.111
2019-08-08,36.163
2019-08-14,36.126
2019-08-20,36.16
2019-08-26,36.127
2019-09-01,36.154
2019-09-07,36.129
2019-09-13,36.156
2019-09-19,36.123
2019-09-25,36.159
2019-10-01,36.128
2019-10-07,36.159
2019-10-13,36.11
2019-10-19,36.161
2019-10-25,36.109
2019-10-31,36.151
2019-11-12,36.153
2019-11-18,36.128
2019-11-24,36.151
2019-11-30,36.123
2019-12-06,36.156
2019-12-12,36.118
2019-12-18,36.158
2019-12-24,36.117
2019-12-30,36.157
2020-01-05,36.12
2020-01-11,36.152
2020-01-17,36.123
2020-01-23,36.154
2020-01-29,36.192
2020-02-04,36.467
2020-02-10,36.19
2020-02-16,36.471
2020-02-22,36.189
2020-02-28,36.464
2020-03-05,36.192
2020-03-11,36.469
2020-03-17,36.196
2020-03-23,36.467
2020-03-29,36.195
2020-04-04,36.469
2020-04-10,36.193
2020-04-16,36.472
2020-04-22,36.19
2020-04-28,36.474
2020-05-04,36.19
2020-05-10,36.462
2020-05-16,36.192
2020-05-22,36.457
2020-05-28,36.194
2020-06-03,36.457
2020-06-09,36.188
2020-06-15,36.459
2020-06-21,36.19
2020-06-27,36.459
2020-07-03,36.184
2020-07-09,36.457
2020-07-15,36.189
2020-07-21,36.454
2020-07-27,36.198
2020-08-02,36.468
2020-08-08,36.194
2020-08-14,36.474
2020-08-20,36.185
2020-08-26,36.477
2020-09-01,36.19
2020-09-07,36.472
2020-09-13,36.196
2020-09-19,36.458
2020-09-25,36.198
2020-10-01,36.454
2020-10-07,36.199
2020-10-13,36.467
2020-10-19,36.191
2020-10-25,36.466
2020-10-31,36.187
2020-11-06,36.471
2020-11-12,36.19
2020-11-18,36.471
2020-11-24,36.187
2020-11-30,36.463
2020-12-06,36.194
2020-12-12,36.462
2020-12-18,36.194
2020-12-24,36.462
2020-12-30,36.187
2021-01-05,36.467
2021-01-11,36.185
2021-01-17,36.469
2021-01-23,36.186
2021-01-29,36.466
2021-02-04,36.191
2021-02-10,36.466
2021-02-16,36.192
2021-02-22,36.467
2021-02-28,36.19
2021-03-06,36.467
2021-03-18,36.465
2021-03-30,36.44
2021-04-05,36.171
2021-04-11,36.444
2021-04-17,36.173
2021-04-29,36.163
2021-05-05,36.464
2021-05-11,36.171
2021-05-17,36.477
2021-05-23,36.173
2021-06-10,36.446
2021-06-22,36.474
2021-06-28,36.17
2021-07-10,36.167
2021-07-16,36.448
2021-07-22,36.169
2021-08-03,36.173
2021-08-09,36.431
2021-08-15,36.172
2021-08-21,36.432
